"module name","licenses","repository","licenseUrl","parents"
"typed-array-length@1.0.6","MIT","https://github.com/inspect-js/typed-array-length","https://github.com/inspect-js/typed-array-length/raw/master/LICENSE","mobile-app"
"typedarray.prototype.slice@1.0.3","MIT","https://github.com/es-shims/TypedArray.prototype.slice","https://github.com/es-shims/TypedArray.prototype.slice/raw/master/LICENSE","mobile-app"
"ua-parser-js@1.0.37","MIT","https://github.com/faisalman/ua-parser-js","https://github.com/faisalman/ua-parser-js/raw/master/license.md","mobile-app"
"unbox-primitive@1.0.2","MIT","https://github.com/ljharb/unbox-primitive","https://github.com/ljharb/unbox-primitive/raw/master/LICENSE","mobile-app"
"undici-types@5.26.5","MIT","https://github.com/nodejs/undici","https://github.com/nodejs/undici","mobile-app"
"undici@6.18.1","MIT","https://github.com/nodejs/undici","https://github.com/nodejs/undici/raw/master/LICENSE","mobile-app"
"unicode-canonical-property-names-ecmascript@2.0.0","MIT","https://github.com/mathiasbynens/unicode-canonical-property-names-ecmascript","https://github.com/mathiasbynens/unicode-canonical-property-names-ecmascript/raw/master/LICENSE-MIT.txt","mobile-app"
"unicode-match-property-ecmascript@2.0.0","MIT","https://github.com/mathiasbynens/unicode-match-property-ecmascript","https://github.com/mathiasbynens/unicode-match-property-ecmascript/raw/master/LICENSE-MIT.txt","mobile-app"
"unicode-match-property-value-ecmascript@2.1.0","MIT","https://github.com/mathiasbynens/unicode-match-property-value-ecmascript","https://github.com/mathiasbynens/unicode-match-property-value-ecmascript/raw/master/LICENSE-MIT.txt","mobile-app"
"unicode-property-aliases-ecmascript@2.1.0","MIT","https://github.com/mathiasbynens/unicode-property-aliases-ecmascript","https://github.com/mathiasbynens/unicode-property-aliases-ecmascript/raw/master/LICENSE-MIT.txt","mobile-app"
"unique-filename@3.0.0","ISC","https://github.com/npm/unique-filename","https://github.com/npm/unique-filename/raw/master/LICENSE","mobile-app"
"unique-slug@4.0.0","ISC","https://github.com/npm/unique-slug","https://github.com/npm/unique-slug/raw/master/LICENSE","mobile-app"
"unique-string@1.0.0","MIT","https://github.com/sindresorhus/unique-string","https://github.com/sindresorhus/unique-string/raw/master/license","@expo/image-utils:mobile-app"
"unique-string@2.0.0","MIT","https://github.com/sindresorhus/unique-string","https://github.com/sindresorhus/unique-string/raw/master/license","mobile-app"
"universalify@0.1.2","MIT","https://github.com/RyanZim/universalify","https://github.com/RyanZim/universalify/raw/master/LICENSE","mobile-app"
"universalify@1.0.0","MIT","https://github.com/RyanZim/universalify","https://github.com/RyanZim/universalify/raw/master/LICENSE","@expo/image-utils:mobile-app"
"universalify@2.0.1","MIT","https://github.com/RyanZim/universalify","https://github.com/RyanZim/universalify/raw/master/LICENSE","jsonfile:@expo/image-utils:mobile-app"
"unpipe@1.0.0","MIT","https://github.com/stream-utils/unpipe","https://github.com/stream-utils/unpipe/raw/master/LICENSE","mobile-app"
"update-browserslist-db@1.0.16","MIT","https://github.com/browserslist/update-db","https://github.com/browserslist/update-db/raw/master/LICENSE","mobile-app"
"uri-js@4.4.1","BSD-2-Clause","http://github.com/garycourt/uri-js","http://github.com/garycourt/uri-js/raw/master/LICENSE","mobile-app"
"url-join@4.0.0","MIT","https://github.com/jfromaniello/url-join","https://github.com/jfromaniello/url-join/raw/master/LICENSE","mobile-app"
"use-latest-callback@0.1.9","MIT","https://github.com/satya164/use-latest-callback","https://github.com/satya164/use-latest-callback","mobile-app"
"use-sync-external-store@1.2.2","MIT","https://github.com/facebook/react","https://github.com/facebook/react/raw/master/LICENSE","mobile-app"
"util-deprecate@1.0.2","MIT","https://github.com/TooTallNate/util-deprecate","https://github.com/TooTallNate/util-deprecate/raw/master/LICENSE","mobile-app"
"util@0.12.5","MIT","https://github.com/browserify/node-util","https://github.com/browserify/node-util/raw/master/LICENSE","mobile-app"
"utils-merge@1.0.1","MIT","https://github.com/jaredhanson/utils-merge","https://github.com/jaredhanson/utils-merge/raw/master/LICENSE","mobile-app"
"uuid@7.0.3","MIT","https://github.com/uuidjs/uuid","https://github.com/uuidjs/uuid/raw/master/LICENSE.md","xcode:mobile-app"
"uuid@8.3.2","MIT","https://github.com/uuidjs/uuid","https://github.com/uuidjs/uuid/raw/master/LICENSE.md","mobile-app"
"valid-url@1.0.9","UNKNOWN","https://github.com/ogt/valid-url","https://github.com/ogt/valid-url/raw/master/LICENSE","mobile-app"
